invoice_id,po_id,invoice_date,entity,supplier,currency,net_amount,vat_amount,total_amount
INV5001,PO1001,2026-01-25,BE01,Summit Technology,EUR,800.0,168.0,968.0
INV5002,PO1002,2026-03-01,BE01,Blue River Services,EUR,7566.34,1588.93,9155.27
INV5003,PO1003,2026-03-26,BE01,Summit Technology,EUR,1726.38,362.54,2088.92
INV5004,PO1004,2026-01-22,BE01,Atlas Consulting,EUR,12373.87,2598.51,14972.38
INV5005,PO1005,2026-02-16,BE01,Summit Technology,EUR,4136.17,868.6,5004.77
INV5006,PO1006,2026-03-13,BE01,Blue River Services,EUR,3274.34,687.61,3961.95
INV5007,PO1007,2026-01-28,BE01,Atlas Consulting,EUR,8416.57,1767.48,10184.05
INV5008,PO1008,2026-03-04,BE01,Northstar Components,EUR,10416.61,2187.49,12604.1
INV5009,PO1009,2026-03-29,BE01,Harbor Trading,EUR,12652.41,2657.01,15309.42
INV5010,PO1010,2026-02-03,BE01,Northstar Components,EUR,5435.55,1141.47,6577.02
INV5011,PO1011,2026-02-09,BE01,Blue River Services,EUR,1948.62,409.21,2357.83
INV5012,PO1012,2026-03-28,BE01,Vertex Logistics,EUR,15453.48,3245.23,18698.71
INV5013,PO1013,2026-02-02,BE01,Orion Office Solutions,EUR,11465.48,2407.75,13873.23
INV5014,PO1014,2026-02-14,BE01,Delta Industrial,EUR,3969.41,833.58,4802.99
INV5015,PO1015,2026-03-29,BE01,Blue River Services,EUR,3785.16,794.88,4580.04
