payment_id,invoice_id,entity,payment_date,currency,amount
PAY9001,INV5001,BE01,2026-01-28,EUR,968.0
PAY9002,INV5002,BE01,2026-03-10,EUR,9155.27
PAY9003,INV5003,BE01,2026-04-13,EUR,2088.92
PAY9004,INV5004,BE01,2026-02-01,EUR,14972.38
PAY9005,INV5005,BE01,2026-02-23,EUR,5004.77
PAY9006,INV5006,BE01,2026-03-17,EUR,3961.95
PAY9007,INV5007,BE01,2026-02-07,EUR,10184.05
PAY9008,INV5008,BE01,2026-03-08,EUR,12604.1
PAY9009,INV5009,BE01,2026-04-14,EUR,15309.42
PAY9010,INV5010,BE01,2026-02-08,EUR,6577.02
PAY9011,INV5011,BE01,2026-02-12,EUR,2357.83
PAY9012,INV5012,BE01,2026-04-01,EUR,18698.71
PAY9013,INV5013,BE01,2026-02-21,EUR,13873.23
PAY9014,INV5014,BE01,2026-02-22,EUR,4802.99
PAY9015,INV5015,BE01,2026-04-03,EUR,4580.04
PAY9016,INV5016,BE01,2026-01-30,EUR,20551.14
PAY9017,INV5017,BE01,2026-02-28,EUR,7812.09
PAY9018,INV5018,BE01,2026-04-17,EUR,13902.88
PAY9019,INV5019,BE01,2026-02-11,EUR,20293.87
PAY9020,INV5020,BE01,2026-03-11,EUR,20309.69
PAY9021,INV5021,US01,2026-02-19,USD,15197.8
PAY9022,INV5022,US01,2026-03-14,USD,9269.99
PAY9023,INV5023,US01,2026-04-06,USD,11251.02
PAY9024,INV5024,US01,2026-02-10,USD,7690.28
PAY9025,INV5025,US01,2026-03-02,USD,9170.11
PAY9026,INV5026,US01,2026-04-01,USD,17660.62
PAY9027,INV5027,US01,2026-02-07,USD,15696.07
PAY9028,INV5028,US01,2026-03-19,USD,9048.32
PAY9029,INV5029,US01,2026-04-16,USD,2375.52
PAY9030,INV5030,US01,2026-01-17,USD,17449.62
PAY9031,INV5031,US01,2026-03-14,USD,10956.5
PAY9032,INV5032,US01,2026-04-08,USD,3178.16
PAY9033,INV5033,US01,2026-01-25,USD,11526.47
PAY9034,INV5034,US01,2026-02-21,USD,11895.5
PAY9035,INV5035,US01,2026-04-17,USD,16506.71
PAY9036,INV5036,US01,2026-02-12,USD,4129.99
PAY9037,INV5037,US01,2026-03-08,USD,16633.38
PAY9038,INV5038,US01,2026-04-11,USD,8747.58
PAY9039,INV5039,US01,2026-02-08,USD,16100.58
PAY9040,INV5040,US01,2026-03-02,USD,3009.21
PAY9041,INV5041,BE02,2026-02-23,EUR,19858.05
PAY9042,INV5042,BE02,2026-03-05,EUR,5923.29
PAY9043,INV5043,BE02,2026-03-29,EUR,10723.07
PAY9044,INV5044,BE02,2026-02-13,EUR,8340.68
PAY9045,INV5045,BE02,2026-02-25,EUR,11820.87
PAY9046,INV5046,BE02,2026-03-25,EUR,20452.04
PAY9047,INV5047,BE02,2026-02-08,EUR,17225.58
PAY9048,INV5048,BE02,2026-03-18,EUR,18183.69
PAY9049,INV5049,BE02,2026-04-02,EUR,20351.73
PAY9050,INV5050,BE02,2026-01-22,EUR,3312.82
PAY9051,INV5051,BE02,2026-03-10,EUR,11422.86
PAY9052,INV5052,BE02,2026-04-01,EUR,13808.37
PAY9053,INV5053,BE02,2026-02-16,EUR,6378.62
PAY9054,INV5054,BE02,2026-03-06,EUR,13288.9
PAY9055,INV5055,BE02,2026-04-03,EUR,6201.23
PAY9056,INV5056,BE02,2026-01-24,EUR,15475.32
PAY9057,INV5057,BE02,2026-02-25,EUR,20785.21
PAY9058,INV5058,BE02,2026-03-27,EUR,7639.07
PAY9059,INV5059,BE02,2026-01-25,EUR,9002.12
PAY9060,INV5060,BE02,2026-03-19,EUR,1559.87
