invoice_id,po_id,entity,supplier,invoice_date,currency,net_amount,vat_amount,total_amount
INV5001,PO1001,BE01,Summit Technology,2026-01-25,EUR,780.0,163.8,943.8
INV5002,PO1002,BE01,Blue River Services,2026-03-01,EUR,7566.34,1588.93,9155.27
INV5003,PO1003,BE01,Summit Technology,2026-03-26,EUR,1726.38,362.54,2088.92
INV5004,PO1004,BE01,Atlas Consulting,2026-01-22,EUR,12373.87,2598.51,14972.38
INV5005,PO1005,BE01,Summit Technology,2026-02-16,EUR,4136.17,868.6,5004.77
INV5006,PO1006,BE01,Blue River Services,2026-03-13,EUR,3274.34,687.61,3961.95
INV5007,PO1007,BE01,Atlas Consulting,2026-01-28,EUR,8416.57,1767.48,10184.05
INV5008,PO1008,BE01,Northstar Components,2026-03-04,EUR,10416.61,2187.49,12604.1
INV5009,PO1009,BE01,Harbor Trading,2026-03-29,EUR,12652.41,2657.01,15309.42
INV5010,PO1010,BE01,Northstar Components,2026-02-03,EUR,5435.55,1141.47,6577.02
INV5011,PO1011,BE01,Blue River Services,2026-02-09,EUR,1948.62,409.21,2357.83
INV5012,PO1012,BE01,Vertex Logistics,2026-03-28,EUR,15453.48,3245.23,18698.71
INV5013,PO1013,BE01,Orion Office Solutions,2026-02-02,EUR,11465.48,2407.75,13873.23
INV5014,PO1014,BE01,Delta Industrial,2026-02-14,EUR,3969.41,833.58,4802.99
INV5015,PO1015,BE01,Blue River Services,2026-03-29,EUR,3785.16,794.88,4580.04
INV5016,PO1016,BE01,Acorn Facilities,2026-01-26,EUR,16984.41,3566.73,20551.14
INV5017,PO1017,BE01,Orion Office Solutions,2026-02-20,EUR,6456.27,1355.82,7812.09
INV5018,PO1018,BE01,Summit Technology,2026-03-31,EUR,11489.98,2412.9,13902.88
INV5019,PO1019,BE01,Atlas Consulting,2026-01-29,EUR,16771.79,3522.08,20293.87
INV5020,PO1020,BE01,Northstar Components,2026-02-24,EUR,16784.87,3524.82,20309.69
INV5021,PO1021,US01,Acorn Facilities,2026-01-31,USD,15197.8,0.0,15197.8
INV5022,PO1022,US01,Harbor Trading,2026-02-27,USD,9269.99,0.0,9269.99
INV5023,PO1023,US01,Orion Office Solutions,2026-04-01,USD,11251.02,0.0,11251.02
INV5024,PO1024,US01,Northstar Components,2026-01-30,USD,7690.28,0.0,7690.28
INV5025,PO1025,US01,Delta Industrial,2026-02-17,USD,9170.11,0.0,9170.11
INV5026,PO1026,US01,Northstar Components,2026-03-21,USD,17660.62,0.0,17660.62
INV5027,PO1027,US01,Maple Leaf Supplies,2026-01-29,USD,15696.07,0.0,15696.07
INV5028,PO1028,US01,Vertex Logistics,2026-03-05,USD,9048.32,0.0,9048.32
INV5029,PO1029,US01,Harbor Trading,2026-04-01,USD,2375.52,0.0,2375.52
INV5030,PO1030,US01,Atlas Consulting,2026-01-12,USD,17449.62,0.0,17449.62
INV5031,PO1031,US01,Blue River Services,2026-03-07,USD,10956.5,0.0,10956.5
INV5032,PO1032,US01,Maple Leaf Supplies,2026-03-22,USD,3178.16,0.0,3178.16
INV5033,PO1033,US01,Northstar Components,2026-01-21,USD,11526.47,0.0,11526.47
INV5034,PO1034,US01,Maple Leaf Supplies,2026-02-19,USD,11895.5,0.0,11895.5
INV5035,PO1035,US01,Maple Leaf Supplies,2026-03-30,USD,16506.71,0.0,16506.71
INV5036,PO1036,US01,Vertex Logistics,2026-01-24,USD,4129.99,0.0,4129.99
INV5037,PO1037,US01,Northstar Components,2026-02-25,USD,16633.38,0.0,16633.38
INV5038,PO1038,US01,Orion Office Solutions,2026-03-29,USD,8747.58,0.0,8747.58
INV5039,PO1039,US01,Maple Leaf Supplies,2026-01-28,USD,16100.58,0.0,16100.58
INV5040,PO1040,US01,Acorn Facilities,2026-02-20,USD,3009.21,0.0,3009.21
INV5041,PO1041,BE02,Vertex Logistics,2026-02-05,EUR,16411.61,3446.44,19858.05
INV5042,PO1042,BE02,Orion Office Solutions,2026-03-01,EUR,4895.28,1028.01,5923.29
INV5043,PO1043,BE02,Northstar Components,2026-03-13,EUR,8862.04,1861.03,10723.07
INV5044,PO1044,BE02,Delta Industrial,2026-01-28,EUR,6893.12,1447.56,8340.68
INV5045,PO1045,BE02,Delta Industrial,2026-02-06,EUR,9769.31,2051.56,11820.87
INV5046,PO1046,BE02,Harbor Trading,2026-03-21,EUR,16902.51,3549.53,20452.04
INV5047,PO1047,BE02,Blue River Services,2026-01-27,EUR,14236.02,2989.56,17225.58
INV5048,PO1048,BE02,Vertex Logistics,2026-03-05,EUR,15027.84,3155.85,18183.69
INV5049,PO1049,BE02,Maple Leaf Supplies,2026-03-31,EUR,16819.61,3532.12,20351.73
INV5050,PO1050,BE02,Summit Technology,2026-01-16,EUR,2737.87,574.95,3312.82
INV5051,PO1051,BE02,Blue River Services,2026-02-19,EUR,9440.38,1982.48,11422.86
INV5052,PO1052,BE02,Northstar Components,2026-03-21,EUR,11411.88,2396.49,13808.37
INV5053,PO1053,BE02,Northstar Components,2026-01-31,EUR,5271.59,1107.03,6378.62
INV5054,PO1054,BE02,Atlas Consulting,2026-02-25,EUR,10982.56,2306.34,13288.9
INV5055,PO1055,BE02,Blue River Services,2026-03-24,EUR,5124.98,1076.25,6201.23
INV5056,PO1056,BE02,Atlas Consulting,2026-01-20,EUR,12789.52,2685.8,15475.32
INV5057,PO1057,BE02,Vertex Logistics,2026-02-23,EUR,17177.86,3607.35,20785.21
INV5058,PO1058,BE02,Summit Technology,2026-03-24,EUR,6313.28,1325.79,7639.07
INV5059,PO1059,BE02,Northstar Components,2026-01-22,EUR,7439.77,1562.35,9002.12
INV5060,PO1060,BE02,Summit Technology,2026-03-04,EUR,1289.15,270.72,1559.87
INV5002,PO1002,BE01,Blue River Services,2026-03-01,EUR,7566.34,1588.93,9155.27
