entry_id,pair_id,cost_id,month,entity,counterparty_entity,paying_entity,receiving_entity,entry_type,currency,local_amount,eur_equivalent,source_amount,source_currency,share_pct,allocated_cost,markup_pct,fx_rate_eur_usd,fx_rate_required,description,status,status_reason,data_quality_flag
COST001-BE02-BE01-P,COST001-BE02-BE01,COST001,2026-01-31,BE01,BE02,BE02,BE01,PAYABLE,EUR,14817.5,14817.5,28531.95,EUR,0.4946,14111.9,0.05,1.08,False,Cloud hosting,VALID,recharge generated from validated shared cost,
COST001-BE02-BE01-R,COST001-BE02-BE01,COST001,2026-01-31,BE02,BE01,BE02,BE01,RECEIVABLE,EUR,14817.5,14817.5,28531.95,EUR,0.4946,14111.9,0.05,1.08,False,Cloud hosting,VALID,recharge generated from validated shared cost,
COST001-BE02-US01-P,COST001-BE02-US01,COST001,2026-01-31,US01,BE02,BE02,US01,PAYABLE,USD,16352.33,15141.05,28531.95,EUR,0.5054,14420.05,0.05,1.08,True,Cloud hosting,VALID,recharge generated from validated shared cost,
COST001-BE02-US01-R,COST001-BE02-US01,COST001,2026-01-31,BE02,US01,BE02,US01,RECEIVABLE,EUR,15141.05,15141.05,28531.95,EUR,0.5054,14420.05,0.05,1.08,True,Cloud hosting,VALID,recharge generated from validated shared cost,
COST002-BE01-BE02-P,COST002-BE01-BE02,COST002,2026-02-28,BE02,BE01,BE01,BE02,PAYABLE,EUR,5939.92,5939.92,16856.57,EUR,0.3356,5657.06,0.05,1.09,False,Group audit,VALID,recharge generated from validated shared cost,
COST002-BE01-BE02-R,COST002-BE01-BE02,COST002,2026-02-28,BE01,BE02,BE01,BE02,RECEIVABLE,EUR,5939.92,5939.92,16856.57,EUR,0.3356,5657.06,0.05,1.09,False,Group audit,VALID,recharge generated from validated shared cost,
COST002-BE01-US01-P,COST002-BE01-US01,COST002,2026-02-28,US01,BE01,BE01,US01,PAYABLE,USD,12817.83,11759.48,16856.57,EUR,0.6644,11199.51,0.05,1.09,True,Group audit,VALID,recharge generated from validated shared cost,
COST002-BE01-US01-R,COST002-BE01-US01,COST002,2026-02-28,BE01,US01,BE01,US01,RECEIVABLE,EUR,11759.48,11759.48,16856.57,EUR,0.6644,11199.51,0.05,1.09,True,Group audit,VALID,recharge generated from validated shared cost,
COST003-BE02-BE01-P,COST003-BE02-BE01,COST003,2026-03-31,BE01,BE02,BE02,BE01,PAYABLE,EUR,6215.34,6215.34,17564.91,EUR,0.337,5919.37,0.05,1.07,False,Insurance,VALID,recharge generated from validated shared cost,
COST003-BE02-BE01-R,COST003-BE02-BE01,COST003,2026-03-31,BE02,BE01,BE02,BE01,RECEIVABLE,EUR,6215.34,6215.34,17564.91,EUR,0.337,5919.37,0.05,1.07,False,Insurance,VALID,recharge generated from validated shared cost,
COST003-BE02-US01-P,COST003-BE02-US01,COST003,2026-03-31,US01,BE02,BE02,US01,PAYABLE,USD,13083.76,12227.81,17564.91,EUR,0.663,11645.54,0.05,1.07,True,Insurance,VALID,recharge generated from validated shared cost,
COST003-BE02-US01-R,COST003-BE02-US01,COST003,2026-03-31,BE02,US01,BE02,US01,RECEIVABLE,EUR,12227.81,12227.81,17564.91,EUR,0.663,11645.54,0.05,1.07,True,Insurance,VALID,recharge generated from validated shared cost,
COST004-US01-BE01-P,COST004-US01-BE01,COST004,2026-01-31,BE01,US01,US01,BE01,PAYABLE,EUR,8478.16,8478.16,19491.26,USD,0.4474,8720.39,0.05,1.08,True,Legal services,VALID,recharge generated from validated shared cost,
COST004-US01-BE01-R,COST004-US01-BE01,COST004,2026-01-31,US01,BE01,US01,BE01,RECEIVABLE,USD,9156.41,8478.16,19491.26,USD,0.4474,8720.39,0.05,1.08,True,Legal services,VALID,recharge generated from validated shared cost,
COST004-US01-BE02-P,COST004-US01-BE02,COST004,2026-01-31,BE02,US01,US01,BE02,PAYABLE,EUR,10471.68,10471.68,19491.26,USD,0.5526,10770.87,0.05,1.08,True,Legal services,VALID,recharge generated from validated shared cost,
COST004-US01-BE02-R,COST004-US01-BE02,COST004,2026-01-31,US01,BE02,US01,BE02,RECEIVABLE,USD,11309.41,10471.68,19491.26,USD,0.5526,10770.87,0.05,1.08,True,Legal services,VALID,recharge generated from validated shared cost,
COST005-US01-BE01-P,COST005-US01-BE01,COST005,2026-02-28,BE01,US01,US01,BE01,PAYABLE,EUR,3749.37,3749.37,9929.08,USD,0.392,3892.2,0.05,1.09,True,IT support,VALID,recharge generated from validated shared cost,
COST005-US01-BE01-R,COST005-US01-BE01,COST005,2026-02-28,US01,BE01,US01,BE01,RECEIVABLE,USD,4086.81,3749.37,9929.08,USD,0.392,3892.2,0.05,1.09,True,IT support,VALID,recharge generated from validated shared cost,
COST005-US01-BE02-P,COST005-US01-BE02,COST005,2026-02-28,BE02,US01,US01,BE02,PAYABLE,EUR,5815.34,5815.34,9929.08,USD,0.608,6036.88,0.05,1.09,True,IT support,VALID,recharge generated from validated shared cost,
