po_id,entity,supplier,currency,net_amount,po_date
PO1001,BE01,Summit Technology,EUR,800.0,2026-01-18
PO1002,BE01,Blue River Services,EUR,7566.34,2026-02-24
PO1003,BE01,Summit Technology,EUR,1726.38,2026-03-15
PO1004,BE01,Atlas Consulting,EUR,12373.87,2026-01-18
PO1005,BE01,Summit Technology,EUR,4136.17,2026-02-05
PO1006,BE01,Blue River Services,EUR,3274.34,2026-03-09
PO1007,BE01,Atlas Consulting,EUR,8416.57,2026-01-24
PO1008,BE01,Northstar Components,EUR,10416.61,2026-02-24
PO1009,BE01,Harbor Trading,EUR,12652.41,2026-03-23
PO1010,BE01,Northstar Components,EUR,5435.55,2026-01-28
PO1011,BE01,Blue River Services,EUR,1948.62,2026-02-07
PO1012,BE01,Vertex Logistics,EUR,15453.48,2026-03-18
PO1013,BE01,Orion Office Solutions,EUR,11465.48,2026-01-22
PO1014,BE01,Delta Industrial,EUR,3969.41,2026-02-09
PO1015,BE01,Blue River Services,EUR,3785.16,2026-03-24
PO1016,BE01,Acorn Facilities,EUR,16984.41,2026-01-17
PO1017,BE01,Orion Office Solutions,EUR,6456.27,2026-02-10
PO1018,BE01,Summit Technology,EUR,11489.98,2026-03-25
PO1019,BE01,Atlas Consulting,EUR,16771.79,2026-01-22
PO1020,BE01,Northstar Components,EUR,16784.87,2026-02-19
PO1021,US01,Acorn Facilities,USD,15197.8,2026-01-22
PO1022,US01,Harbor Trading,USD,9269.99,2026-02-21
PO1023,US01,Orion Office Solutions,USD,11251.02,2026-03-24
PO1024,US01,Northstar Components,USD,7690.28,2026-01-20
PO1025,US01,Delta Industrial,USD,9170.11,2026-02-10
PO1026,US01,Northstar Components,USD,17660.62,2026-03-11
PO1027,US01,Maple Leaf Supplies,USD,15696.07,2026-01-20
PO1028,US01,Vertex Logistics,USD,9048.32,2026-02-22
PO1029,US01,Harbor Trading,USD,2375.52,2026-03-23
PO1030,US01,Atlas Consulting,USD,17449.62,2026-01-11
PO1031,US01,Blue River Services,USD,10956.5,2026-02-25
PO1032,US01,Maple Leaf Supplies,USD,3178.16,2026-03-16
PO1033,US01,Northstar Components,USD,11526.47,2026-01-10
PO1034,US01,Maple Leaf Supplies,USD,11895.5,2026-02-11
PO1035,US01,Maple Leaf Supplies,USD,16506.71,2026-03-20
PO1036,US01,Vertex Logistics,USD,4129.99,2026-01-17
PO1037,US01,Northstar Components,USD,16633.38,2026-02-17
PO1038,US01,Orion Office Solutions,USD,8747.58,2026-03-22
PO1039,US01,Maple Leaf Supplies,USD,16100.58,2026-01-18
PO1040,US01,Acorn Facilities,USD,3009.21,2026-02-11
PO1041,BE02,Vertex Logistics,EUR,16411.61,2026-01-26
PO1042,BE02,Orion Office Solutions,EUR,4895.28,2026-02-20
PO1043,BE02,Northstar Components,EUR,8862.04,2026-03-12
PO1044,BE02,Delta Industrial,EUR,6893.12,2026-01-24
PO1045,BE02,Delta Industrial,EUR,9769.31,2026-02-05
PO1046,BE02,Harbor Trading,EUR,16902.51,2026-03-12
PO1047,BE02,Blue River Services,EUR,14236.02,2026-01-26
PO1048,BE02,Vertex Logistics,EUR,15027.84,2026-02-22
PO1049,BE02,Maple Leaf Supplies,EUR,16819.61,2026-03-25
PO1050,BE02,Summit Technology,EUR,2737.87,2026-01-13
PO1051,BE02,Blue River Services,EUR,9440.38,2026-02-14
PO1052,BE02,Northstar Components,EUR,11411.88,2026-03-14
PO1053,BE02,Northstar Components,EUR,5271.59,2026-01-22
PO1054,BE02,Atlas Consulting,EUR,10982.56,2026-02-16
PO1055,BE02,Blue River Services,EUR,5124.98,2026-03-13
PO1056,BE02,Atlas Consulting,EUR,12789.52,2026-01-11
PO1057,BE02,Vertex Logistics,EUR,17177.86,2026-02-22
PO1058,BE02,Summit Technology,EUR,6313.28,2026-03-21
PO1059,BE02,Northstar Components,EUR,7439.77,2026-01-17
PO1060,BE02,Summit Technology,EUR,1289.15,2026-02-23
